z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
-0.031397,0.012385,0.015710,0.071998,0.246277,0.169845,0.245811,0.172191
-0.030244,0.011734,0.015816,0.071998,0.246258,0.169816,0.245811,0.172150
-0.029096,0.011364,0.016011,0.072015,0.246255,0.169777,0.245811,0.172058
-0.028090,0.011341,0.016270,0.072025,0.246259,0.169748,0.245811,0.171946
-0.026907,0.010969,0.016503,0.071968,0.246220,0.169760,0.245811,0.171915
-0.025567,0.010469,0.016584,0.071968,0.246207,0.169742,0.245811,0.171895
-0.024128,0.010279,0.016723,0.071945,0.246190,0.169740,0.245801,0.171854
-0.022454,0.009742,0.016790,0.071957,0.246183,0.169710,0.245801,0.171803
-0.020458,0.009048,0.016847,0.071949,0.246160,0.169690,0.245801,0.171793
-0.018327,0.008707,0.016946,0.071933,0.246143,0.169686,0.245811,0.171793
-0.016067,0.008218,0.017016,0.071904,0.246116,0.169686,0.245811,0.171793
-0.013658,0.007877,0.017111,0.071890,0.246100,0.169681,0.245822,0.171793
-0.011214,0.007731,0.017363,0.071822,0.246062,0.169710,0.245822,0.171783
-0.008615,0.007455,0.017641,0.071754,0.246021,0.169733,0.245822,0.171762
-0.005943,0.007390,0.017717,0.071743,0.246013,0.169731,0.245822,0.171732
-0.003249,0.007247,0.017806,0.071754,0.246014,0.169715,0.245822,0.171691
-0.000433,0.006995,0.018004,0.071721,0.245991,0.169719,0.245822,0.171661
0.002399,0.006854,0.018019,0.071704,0.245978,0.169722,0.245822,0.171661
0.005322,0.006803,0.017954,0.071732,0.245992,0.169706,0.245822,0.171650
0.008369,0.006737,0.017844,0.071767,0.246007,0.169685,0.245822,0.171650
0.011473,0.006941,0.017784,0.071787,0.246022,0.169681,0.245822,0.171650
0.014413,0.007630,0.017813,0.071782,0.246036,0.169704,0.245822,0.171650
0.017011,0.008445,0.017716,0.071826,0.246080,0.169708,0.245822,0.171640
0.019086,0.009771,0.017713,0.071836,0.246119,0.169751,0.245822,0.171650
0.020371,0.011754,0.017949,0.071786,0.246148,0.169841,0.245822,0.171640
0.020963,0.013822,0.017941,0.071815,0.246222,0.169898,0.245822,0.171620
0.020881,0.015729,0.017977,0.071818,0.246279,0.169960,0.245822,0.171620
0.020415,0.017656,0.018188,0.071766,0.246308,0.170051,0.245822,0.171620
0.019669,0.019681,0.018413,0.071704,0.246337,0.170151,0.245822,0.171620
0.018832,0.021882,0.018571,0.071661,0.246383,0.170248,0.245822,0.171620
0.018185,0.023289,0.018493,0.071709,0.246452,0.170274,0.245822,0.171589
0.017550,0.024471,0.018719,0.071692,0.246480,0.170325,0.245822,0.171579
0.016995,0.025787,0.019305,0.071536,0.246443,0.170456,0.245822,0.171549
0.016377,0.026606,0.019407,0.071608,0.246508,0.170466,0.245822,0.171457
0.015834,0.027051,0.019683,0.071684,0.246560,0.170466,0.245822,0.171335
0.014966,0.028204,0.020316,0.071549,0.246529,0.170583,0.245822,0.171294
0.014141,0.028722,0.020612,0.071476,0.246509,0.170645,0.245822,0.171263
0.013044,0.029081,0.020675,0.071492,0.246529,0.170655,0.245822,0.171233
0.011828,0.029473,0.020732,0.071565,0.246579,0.170645,0.245822,0.171162
0.010647,0.028985,0.021206,0.071552,0.246561,0.170658,0.245822,0.171050
0.009671,0.028553,0.021803,0.071494,0.246514,0.170685,0.245822,0.170948
0.008552,0.028960,0.022148,0.071389,0.246474,0.170755,0.245822,0.170938
0.007631,0.028787,0.021915,0.071453,0.246502,0.170720,0.245822,0.170928
0.006760,0.028194,0.022071,0.071448,0.246483,0.170703,0.245822,0.170907
0.005955,0.026944,0.022674,0.071319,0.246377,0.170728,0.245821,0.170856
0.005209,0.025057,0.023119,0.071223,0.246270,0.170704,0.245821,0.170795
0.004514,0.022895,0.023179,0.071205,0.246193,0.170636,0.245832,0.170785
0.003827,0.020687,0.023189,0.071207,0.246125,0.170554,0.245832,0.170775
