z,ds,Channel 3,Channel 4,Channel 5,Channel 6
0.256502,0.234113,0.285292,0.081547,-0.154183,0.066365
0.256773,0.232995,0.273196,0.080472,-0.151037,0.088105
0.257103,0.232461,0.273196,0.079925,-0.198808,0.096400
0.257269,0.232291,0.267821,0.079758,-0.150751,0.069225
0.257344,0.232271,0.269933,0.079650,-0.183933,0.086388
0.257030,0.231478,0.270701,0.078817,-0.167628,0.092682
0.256691,0.230228,0.267245,0.077576,-0.128438,0.054636
0.256708,0.230005,0.258029,0.077421,-0.143313,0.031466
0.257023,0.230224,0.265517,0.077705,-0.174207,0.072658
0.256833,0.230034,0.259949,0.077490,-0.133015,0.064648
0.256788,0.230037,0.249774,0.077424,-0.165912,0.054636
0.256958,0.230015,0.252846,0.077367,-0.167342,0.120143
0.256836,0.229558,0.239407,0.076845,-0.148748,0.093540
0.256537,0.229114,0.244974,0.076223,-0.121859,0.096114
0.256460,0.229038,0.249774,0.076181,-0.116138,0.076090
0.256684,0.229214,0.238255,0.076314,-0.165626,0.056925
0.256759,0.229289,0.240943,0.076334,-0.138450,0.076663
0.256702,0.229041,0.237295,0.076114,-0.111847,0.060357
0.256649,0.228844,0.242671,0.075892,-0.146746,0.074088
0.256604,0.228799,0.228464,0.075806,-0.076663,0.077235
0.256524,0.228719,0.230191,0.075669,-0.135018,0.094398
0.256535,0.228682,0.235759,0.075649,-0.100977,0.088963
0.256591,0.228737,0.223856,0.075685,-0.147318,0.083528
0.256688,0.228691,0.218480,0.075636,-0.125292,0.066651
0.256896,0.228708,0.217328,0.075683,-0.145030,0.075804
0.257154,0.228822,0.211377,0.075731,-0.125292,0.062074
0.257605,0.228984,0.219440,0.075725,-0.116710,0.095256
0.257955,0.228807,0.205425,0.075082,-0.128438,0.063218
0.258253,0.229058,0.209265,0.074446,-0.079237,0.057497
0.259017,0.229342,0.199282,0.074055,-0.130727,0.063218
0.259802,0.230510,0.206769,0.073952,-0.129297,0.055209
0.260961,0.230855,0.199666,0.073387,-0.132443,0.062646
0.261459,0.230826,0.210801,0.072050,-0.116996,0.020596
