z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.667416,-0.021478,-0.000883,-0.001306,0.102407,0.103978,0.109924,0.113227
0.667457,-0.021484,-0.000889,-0.001309,0.102406,0.103979,0.109924,0.113227
0.667442,-0.021450,-0.000876,-0.001312,0.102404,0.103981,0.109924,0.113227
0.667448,-0.021450,-0.000854,-0.001315,0.102403,0.103983,0.109924,0.113227
0.667466,-0.021471,-0.000861,-0.001313,0.102404,0.103982,0.109924,0.113227
0.667476,-0.021445,-0.000924,-0.001305,0.102408,0.103977,0.109924,0.113227
0.667439,-0.021473,-0.000945,-0.001293,0.102414,0.103971,0.109924,0.113227
0.667435,-0.021462,-0.000889,-0.001302,0.102409,0.103976,0.109924,0.113227
0.667459,-0.021461,-0.000928,-0.001294,0.102414,0.103972,0.109924,0.113227
0.667442,-0.021494,-0.000925,-0.001292,0.102414,0.103970,0.109924,0.113227
0.667428,-0.021477,-0.000915,-0.001303,0.102409,0.103976,0.109924,0.113227
0.667373,-0.021461,-0.000959,-0.001289,0.102416,0.103969,0.109924,0.113227
0.667374,-0.021486,-0.000912,-0.001298,0.102411,0.103973,0.109924,0.113227
0.667347,-0.021503,-0.000918,-0.001299,0.102410,0.103973,0.109924,0.113227
0.667364,-0.021482,-0.000930,-0.001298,0.102411,0.103974,0.109924,0.113227
0.667381,-0.021469,-0.000910,-0.001303,0.102409,0.103977,0.109924,0.113227
0.667400,-0.021434,-0.000940,-0.001297,0.102412,0.103974,0.109924,0.113227
0.667421,-0.021426,-0.000951,-0.001290,0.102416,0.103970,0.109924,0.113227
0.667392,-0.021430,-0.000917,-0.001300,0.102411,0.103976,0.109924,0.113227
0.667405,-0.021444,-0.000909,-0.001302,0.102410,0.103976,0.109924,0.113227
0.667399,-0.021435,-0.000912,-0.001299,0.102411,0.103975,0.109924,0.113227
0.667438,-0.021454,-0.000876,-0.001310,0.102405,0.103981,0.109924,0.113227
0.667415,-0.021425,-0.000839,-0.001318,0.102402,0.103985,0.109924,0.113227
0.667405,-0.021427,-0.000829,-0.001319,0.102402,0.103986,0.109924,0.113227
0.667384,-0.021456,-0.000811,-0.001330,0.102395,0.103991,0.109924,0.113227
0.667413,-0.021447,-0.000807,-0.001332,0.102394,0.103992,0.109924,0.113227
0.667454,-0.021477,-0.000781,-0.001338,0.102391,0.103994,0.109924,0.113227
0.667429,-0.021466,-0.000832,-0.001325,0.102397,0.103988,0.109924,0.113227
0.667457,-0.021468,-0.000810,-0.001330,0.102395,0.103991,0.109924,0.113227
0.667453,-0.021499,-0.000831,-0.001321,0.102399,0.103985,0.109924,0.113227
0.667466,-0.021518,-0.000811,-0.001324,0.102397,0.103986,0.109924,0.113227
0.667443,-0.021497,-0.000862,-0.001320,0.102400,0.103985,0.109924,0.113227
0.667444,-0.021517,-0.000903,-0.001307,0.102405,0.103977,0.109924,0.113227
0.667467,-0.021544,-0.000900,-0.001300,0.102408,0.103973,0.109924,0.113227
0.667460,-0.021531,-0.000855,-0.001318,0.102400,0.103982,0.109924,0.113227
0.667456,-0.021521,-0.000842,-0.001318,0.102400,0.103982,0.109924,0.113227
0.667422,-0.021540,-0.000866,-0.001319,0.102399,0.103983,0.109924,0.113227
0.667388,-0.021548,-0.000833,-0.001328,0.102394,0.103987,0.109924,0.113227
0.667409,-0.021537,-0.000846,-0.001320,0.102399,0.103983,0.109924,0.113227
0.667416,-0.021550,-0.000874,-0.001312,0.102402,0.103979,0.109924,0.113227
0.667457,-0.021541,-0.000891,-0.001308,0.102404,0.103977,0.109924,0.113227
0.667499,-0.021539,-0.000903,-0.001307,0.102405,0.103977,0.109924,0.113227
0.667457,-0.021556,-0.000928,-0.001295,0.102412,0.103970,0.109924,0.113227
0.667492,-0.021552,-0.000906,-0.001302,0.102408,0.103974,0.109924,0.113227
0.667445,-0.021545,-0.000898,-0.001301,0.102408,0.103973,0.109924,0.113227
0.667430,-0.021512,-0.000890,-0.001303,0.102407,0.103975,0.109924,0.113227
0.667401,-0.021491,-0.000873,-0.001310,0.102405,0.103980,0.109924,0.113227
0.667360,-0.021473,-0.000920,-0.001297,0.102412,0.103973,0.109924,0.113227
0.667325,-0.021471,-0.000920,-0.001291,0.102415,0.103970,0.109924,0.113227
0.667313,-0.021486,-0.000917,-0.001298,0.102411,0.103974,0.109924,0.113227
0.667309,-0.021479,-0.000944,-0.001292,0.102414,0.103970,0.109924,0.113227
0.667327,-0.021498,-0.000926,-0.001296,0.102412,0.103972,0.109924,0.113227
0.667310,-0.021506,-0.000927,-0.001300,0.102409,0.103974,0.109924,0.113227
0.667248,-0.021514,-0.000932,-0.001293,0.102412,0.103970,0.109924,0.113227
0.667257,-0.021507,-0.000923,-0.001296,0.102412,0.103972,0.109924,0.113227
0.667273,-0.021480,-0.000892,-0.001307,0.102407,0.103978,0.109924,0.113227
0.667274,-0.021474,-0.000930,-0.001297,0.102412,0.103973,0.109924,0.113227
0.667297,-0.021473,-0.000882,-0.001305,0.102408,0.103978,0.109924,0.113227
0.667286,-0.021469,-0.000937,-0.001291,0.102415,0.103971,0.109924,0.113227
0.667258,-0.021426,-0.000909,-0.001302,0.102411,0.103977,0.109924,0.113227
0.667307,-0.021436,-0.000914,-0.001300,0.102411,0.103976,0.109924,0.113227
0.667271,-0.021437,-0.000913,-0.001301,0.102411,0.103976,0.109924,0.113227
0.667268,-0.021461,-0.000929,-0.001300,0.102411,0.103975,0.109924,0.113227
0.667205,-0.021498,-0.000937,-0.001294,0.102413,0.103971,0.109924,0.113227
0.667193,-0.021490,-0.000941,-0.001291,0.102415,0.103970,0.109924,0.113227
0.667152,-0.021469,-0.000996,-0.001275,0.102423,0.103962,0.109924,0.113227
0.667145,-0.021478,-0.000999,-0.001272,0.102424,0.103960,0.109924,0.113227
0.667120,-0.021495,-0.000997,-0.001276,0.102423,0.103962,0.109924,0.113227
0.667157,-0.021490,-0.000927,-0.001294,0.102413,0.103971,0.109924,0.113227
0.667127,-0.021509,-0.000936,-0.001291,0.102414,0.103969,0.109924,0.113227
0.667137,-0.021511,-0.000956,-0.001287,0.102416,0.103967,0.109924,0.113227
0.667159,-0.021515,-0.000969,-0.001282,0.102418,0.103965,0.109924,0.113227
0.667147,-0.021521,-0.000912,-0.001302,0.102408,0.103975,0.109924,0.113227
0.667125,-0.021514,-0.000977,-0.001282,0.102419,0.103964,0.109924,0.113227
0.667099,-0.021539,-0.000964,-0.001287,0.102416,0.103966,0.109924,0.113227
0.667102,-0.021546,-0.000972,-0.001288,0.102415,0.103966,0.109924,0.113227
0.667122,-0.021550,-0.000973,-0.001285,0.102416,0.103965,0.109924,0.113227
0.667123,-0.021555,-0.000956,-0.001285,0.102416,0.103965,0.109924,0.113227
0.667095,-0.021541,-0.000932,-0.001291,0.102413,0.103968,0.109924,0.113227
0.667115,-0.021542,-0.000962,-0.001285,0.102417,0.103965,0.109924,0.113227
0.667084,-0.021541,-0.000955,-0.001289,0.102414,0.103967,0.109924,0.113227
0.667092,-0.021549,-0.000983,-0.001284,0.102417,0.103964,0.109924,0.113227
0.667081,-0.021558,-0.000989,-0.001279,0.102419,0.103962,0.109924,0.113227
0.667019,-0.021523,-0.001005,-0.001275,0.102422,0.103960,0.109924,0.113227
0.667019,-0.021516,-0.001054,-0.001263,0.102429,0.103954,0.109924,0.113227
0.666988,-0.021517,-0.001053,-0.001259,0.102431,0.103952,0.109924,0.113227
0.666980,-0.021501,-0.001010,-0.001272,0.102424,0.103959,0.109924,0.113227
0.666943,-0.021509,-0.001018,-0.001271,0.102424,0.103959,0.109924,0.113227
0.666940,-0.021505,-0.001041,-0.001265,0.102427,0.103956,0.109924,0.113227
0.666922,-0.021513,-0.001016,-0.001270,0.102425,0.103959,0.109924,0.113227
0.666932,-0.021514,-0.001028,-0.001268,0.102426,0.103957,0.109924,0.113227
0.666953,-0.021515,-0.001054,-0.001263,0.102428,0.103955,0.109924,0.113227
0.666934,-0.021520,-0.001060,-0.001261,0.102429,0.103953,0.109924,0.113227
0.666922,-0.021566,-0.001046,-0.001261,0.102428,0.103953,0.109924,0.113227
0.666892,-0.021555,-0.001085,-0.001251,0.102434,0.103947,0.109924,0.113227
0.666892,-0.021562,-0.001108,-0.001244,0.102437,0.103943,0.109924,0.113227
0.666871,-0.021522,-0.001043,-0.001263,0.102429,0.103955,0.109924,0.113227
0.666814,-0.021528,-0.001058,-0.001256,0.102432,0.103951,0.109924,0.113227
0.666778,-0.021535,-0.001079,-0.001253,0.102433,0.103949,0.109924,0.113227
0.666810,-0.021524,-0.001051,-0.001258,0.102431,0.103951,0.109924,0.113227
0.666816,-0.021528,-0.001035,-0.001264,0.102427,0.103954,0.109924,0.113227
0.666815,-0.021527,-0.000994,-0.001277,0.102421,0.103961,0.109924,0.113227
